trade_date,dominant_code,close,oi,vol,price_change,oi_change,oi_change_pct,vol_change,vol_oi_ratio,price_move_threshold,oi_move_threshold,signal,signal_text,regime,position_flow_score,position_flow_factor
2025-04-28,NI2506.SHF,124690,70157,201951,-0.008823529411764675,3777.0,0.05689966857487194,34549.0,2.8785580911384465,0.006238159679203215,0.04607396096314842,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.5192386083689273
2025-04-29,NI2506.SHF,124180,71954,135881,-0.004090143556018888,1797.0,0.02561398007326421,-66070.0,1.8884426161158518,0.005483415878282161,0.042055669329505274,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.2152383651724532
2025-04-30,NI2506.SHF,123720,69395,129214,-0.0037043002093735122,-2559.0,-0.03556438835922948,-6667.0,1.8620073492326537,0.004874246100090629,0.037900323565018657,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.39268688568602994
2025-05-06,NI2506.SHF,124630,67940,101917,0.007355318461041094,-1455.0,-0.020966928453058586,-27297.0,1.5001030320871358,0.004874246100090629,0.037900323565018657,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.13611609992017493
2025-05-07,NI2506.SHF,124450,68873,149603,-0.0014442750541603377,933.0,0.013732705328230788,47686.0,2.172157449218126,0.004222082544317218,0.037900323565018657,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.1228843027407045
2025-05-08,NI2506.SHF,123630,68575,144478,-0.006588991562876623,-298.0,-0.004326804408113505,-5125.0,2.106861100984324,0.004222082544317218,0.03618111543861907,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.10915795970990128
2025-05-09,NI2506.SHF,123450,70991,111203,-0.0014559572919193853,2416.0,0.03523149835946038,-33275.0,1.566437999182995,0.0038972218826962,0.03539794335934493,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.33775541067540993
2025-05-12,NI2506.SHF,126130,67717,235469,0.021709194005670396,-3274.0,-0.04611852206617739,124266.0,3.477250911883279,0.004222082544317218,0.03539794335934493,short_covering,价格上涨但减仓，更像空头回补推动的反弹,空头回补,1,0.75590671939493
2025-05-13,NI2506.SHF,123860,71637,159883,-0.01799730436850866,3920.0,0.057887974954590415,-75586.0,2.2318494632661894,0.004222082544317218,0.03618111543861907,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.6010932941391824
2025-05-14,NI2506.SHF,125230,63077,136563,0.01106087518165677,-8560.0,-0.11949132431564691,-23320.0,2.1650205304627677,0.00496319131080708,0.03618111543861907,short_covering,价格上涨但减仓，更像空头回补推动的反弹,空头回补,1,-0.08430449133990137
2025-05-15,NI2506.SHF,123600,63702,137729,-0.013016050467140494,625.0,0.009908524501799354,1166.0,2.16208282314527,0.00496319131080708,0.03539794335934493,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.031075259653411402
2025-05-16,NI2506.SHF,124060,55628,124511,0.0037216828478965347,-8074.0,-0.12674641298546352,-13218.0,2.2382792838139065,0.004222082544317218,0.03539794335934493,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-1.2302473013756698
2025-05-19,NI2506.SHF,123850,57470,116247,-0.001692729324520359,1842.0,0.033112820881570526,-8264.0,2.022742300330607,0.004222082544317218,0.03417215962051545,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.31420091557050167
2025-05-20,NI2506.SHF,122870,63519,109167,-0.007912797739200617,6049.0,0.10525491560814348,-7080.0,1.7186511122656214,0.004222082544317218,0.03539794335934493,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.0265788213105713
2025-05-21,NI2507.SHF,123450,62444,41036,0.0047204362334174466,-1075.0,-0.016924069963318078,-68131.0,0.6571648196784319,0.0045372288830164975,0.03417215962051545,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.12203633729900631
2025-05-22,NI2507.SHF,123540,65949,55731,0.0007290400972053135,3505.0,0.05613029274229708,14695.0,0.8450620934358368,0.0045372288830164975,0.03539794335934493,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.568593328395024
2025-05-23,NI2507.SHF,122700,71747,58143,-0.006799417192812074,5798.0,0.08791642026414359,2412.0,0.8103892845693896,0.005146398661208029,0.04084145521270344,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.1888299692866848
2025-05-26,NI2507.SHF,123000,68605,67173,0.0024449877750611915,-3142.0,-0.04379277182321217,9030.0,0.979126885795496,0.0045372288830164975,0.03967858009122083,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.4134778404815098
2025-05-27,NI2507.SHF,122310,82390,83267,-0.005609756097560981,13785.0,0.20093287661249182,16094.0,1.0106444956912246,0.005165096165489214,0.03967858009122083,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-0.04676879485069163
2025-05-28,NI2507.SHF,119950,106713,158844,-0.019295233423268776,24323.0,0.29521786624590374,75577.0,1.4885159258946894,0.006099373830218802,0.04495564694469478,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,0.7592263282263496
2025-05-29,NI2507.SHF,120480,102540,181192,0.004418507711546393,-4173.0,-0.03910488881392149,22348.0,1.7670372537546324,0.005165096165489214,0.04144883031856683,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.34686381102375097
2025-05-30,NI2507.SHF,121100,94854,145554,0.0051460823373175035,-7686.0,-0.0749561146869514,-35638.0,1.5345056613321526,0.005377919217439242,0.04495564694469478,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.698100323496339
