ts_code,trade_date,open,high,low,close,vol,oi,delist_date
CU2311.SHF,20230306,69510.0,69510.0,68820.0,68890,281,4906,20231115
CU2312.SHF,20230306,69980.0,69980.0,68740.0,68860,120,1685,20231215
CU2401.SHF,20230306,69150.0,69250.0,68690.0,68770,47,1071,20240115
CU2402.SHF,20230306,69020.0,69100.0,68460.0,68650,76,1088,20240219
CU2303.SHF,20230307,69060.0,69680.0,69060.0,69480,16385,34605,20230315
CU2304.SHF,20230307,69110.0,69800.0,69050.0,69590,51218,147482,20230417
CU2305.SHF,20230307,69100.0,69840.0,69040.0,69610,29070,121165,20230515
CU2306.SHF,20230307,69030.0,69780.0,69030.0,69590,8133,58517,20230615
CU2307.SHF,20230307,69000.0,69700.0,69000.0,69530,1855,26283,20230717
CU2308.SHF,20230307,69090.0,69660.0,69010.0,69490,605,16498,20230815
CU2309.SHF,20230307,68910.0,69580.0,68900.0,69440,247,6809,20230915
CU2310.SHF,20230307,68790.0,69430.0,68790.0,69270,84,2818,20231016
CU2311.SHF,20230307,68840.0,69380.0,68800.0,69260,1175,5905,20231115
CU2312.SHF,20230307,69100.0,69470.0,69080.0,69160,29,1681,20231215
CU2401.SHF,20230307,68500.0,69160.0,68500.0,69080,23,1071,20240115
CU2402.SHF,20230307,68540.0,69060.0,68450.0,68980,25,1085,20240219
CU2303.SHF,20230308,69150.0,69240.0,68620.0,68820,26885,28740,20230315
CU2304.SHF,20230308,69250.0,69320.0,68680.0,68880,82682,145772,20230417
CU2305.SHF,20230308,69300.0,69350.0,68710.0,68910,46663,120407,20230515
CU2306.SHF,20230308,69200.0,69310.0,68660.0,68870,13506,60128,20230615
CU2307.SHF,20230308,69220.0,69250.0,68620.0,68840,4333,28195,20230717
CU2308.SHF,20230308,69180.0,69180.0,68550.0,68750,1451,17010,20230815
CU2309.SHF,20230308,69100.0,69110.0,68470.0,68670,892,7120,20230915
CU2310.SHF,20230308,69020.0,69020.0,68340.0,68570,476,2986,20231016
CU2311.SHF,20230308,68940.0,68940.0,68240.0,68480,499,6046,20231115
CU2312.SHF,20230308,68550.0,68630.0,68200.0,68310,294,1871,20231215
CU2401.SHF,20230308,68500.0,68500.0,68100.0,68280,77,1068,20240115
CU2402.SHF,20230308,68430.0,68440.0,67950.0,68110,124,1153,20240219
CU2303.SHF,20230309,69000.0,69590.0,68860.0,69220,15495,22940,20230315
CU2304.SHF,20230309,69160.0,69700.0,68910.0,69290,76750,144010,20230417
CU2305.SHF,20230309,69100.0,69740.0,68920.0,69300,47790,119882,20230515
CU2306.SHF,20230309,69000.0,69680.0,68890.0,69260,10878,61643,20230615
CU2307.SHF,20230309,69060.0,69620.0,68850.0,69140,3188,28922,20230717
CU2308.SHF,20230309,68850.0,69570.0,68760.0,69130,1549,17255,20230815
CU2309.SHF,20230309,68770.0,69470.0,68700.0,69090,445,7216,20230915
CU2310.SHF,20230309,68830.0,69280.0,68700.0,69010,165,3045,20231016
CU2311.SHF,20230309,68750.0,69240.0,68470.0,68770,223,6011,20231115
CU2312.SHF,20230309,68600.0,69090.0,68400.0,68700,239,1983,20231215
CU2401.SHF,20230309,68520.0,68930.0,68290.0,68440,79,1102,20240115
CU2402.SHF,20230309,68400.0,68860.0,68090.0,68460,74,1160,20240219
CU2303.SHF,20230310,69310.0,69600.0,68820.0,68850,18130,18500,20230315
CU2304.SHF,20230310,69380.0,69700.0,68800.0,68810,70261,143690,20230417
CU2305.SHF,20230310,69320.0,69690.0,68760.0,68790,44711,120835,20230515
CU2306.SHF,20230310,69260.0,69640.0,68710.0,68720,14190,61785,20230615
CU2307.SHF,20230310,69110.0,69560.0,68630.0,68660,5072,30804,20230717
CU2308.SHF,20230310,69130.0,69460.0,68560.0,68580,1111,17553,20230815
CU2309.SHF,20230310,69110.0,69420.0,68490.0,68490,359,7280,20230915
CU2310.SHF,20230310,69060.0,69200.0,68410.0,68410,188,3042,20231016
CU2311.SHF,20230310,68910.0,69150.0,68330.0,68340,175,6049,20231115
CU2312.SHF,20230310,68770.0,69040.0,68250.0,68260,52,1981,20231215
CU2401.SHF,20230310,68640.0,68720.0,68100.0,68150,30,1110,20240115
CU2402.SHF,20230310,68610.0,68790.0,68000.0,68000,32,1153,20240219
CU2303.SHF,20230313,68850.0,69450.0,68640.0,69290,13980,13320,20230315
CU2304.SHF,20230313,68860.0,69410.0,68540.0,69270,110572,145271,20230417
CU2305.SHF,20230313,68880.0,69360.0,68490.0,69230,69144,126666,20230515
CU2306.SHF,20230313,68720.0,69250.0,68400.0,69090,18115,63943,20230615
CU2307.SHF,20230313,68660.0,69140.0,68300.0,69020,5674,31984,20230717
CU2308.SHF,20230313,68650.0,69030.0,68220.0,68870,2180,18251,20230815
CU2309.SHF,20230313,68490.0,68960.0,68160.0,68870,1157,7433,20230915
CU2310.SHF,20230313,68420.0,68830.0,68070.0,68690,266,2999,20231016
CU2311.SHF,20230313,68140.0,68750.0,68010.0,68700,176,6100,20231115
CU2312.SHF,20230313,68190.0,68590.0,67890.0,68550,267,1984,20231215
CU2401.SHF,20230313,68080.0,68520.0,67750.0,68440,106,1164,20240115
CU2402.SHF,20230313,67800.0,68370.0,67700.0,68370,32,1157,20240219
CU2303.SHF,20230314,68710.0,68970.0,67600.0,68550,7330,10010,20230315
CU2304.SHF,20230314,67780.0,68960.0,67500.0,68550,119029,141833,20230417
CU2305.SHF,20230314,67860.0,68920.0,67100.0,68460,83532,128520,20230515
CU2306.SHF,20230314,67330.0,68790.0,67330.0,68350,25587,65174,20230615
CU2307.SHF,20230314,67800.0,68680.0,67230.0,68280,8185,33484,20230717
CU2308.SHF,20230314,67780.0,68600.0,67180.0,68230,3992,19641,20230815
CU2309.SHF,20230314,67090.0,68520.0,67070.0,68160,1733,8194,20230915
CU2310.SHF,20230314,67790.0,68450.0,67000.0,68070,588,3024,20231016
CU2311.SHF,20230314,67400.0,68390.0,66970.0,68080,863,6344,20231115
CU2312.SHF,20230314,66910.0,68300.0,66880.0,67920,178,2005,20231215
CU2401.SHF,20230314,67590.0,68160.0,66620.0,67830,169,1190,20240115
CU2402.SHF,20230314,66880.0,68050.0,66660.0,67660,124,1163,20240219
CU2303.SHF,20230315,68580.0,69050.0,68580.0,68590,4325,8160,20230315
CU2304.SHF,20230315,68970.0,69100.0,68550.0,68660,62871,139125,20230417
CU2305.SHF,20230315,68700.0,69020.0,68430.0,68590,39558,127485,20230515
