ts_code,trade_date,open,high,low,close,vol,oi,delist_date
SS2410.SHF,20240123,14130.0,14255.0,14130.0,14250,74,794,20241015
SS2411.SHF,20240123,14195.0,14280.0,14175.0,14265,47,476,20241115
SS2412.SHF,20240123,14215.0,14330.0,14215.0,14285,50,133,20241216
SS2402.SHF,20240124,14260.0,14350.0,14245.0,14310,4631,12501,20240219
SS2403.SHF,20240124,14310.0,14395.0,14280.0,14355,153237,127897,20240315
SS2404.SHF,20240124,14305.0,14370.0,14275.0,14345,11729,36049,20240415
SS2405.SHF,20240124,14335.0,14380.0,14300.0,14350,46635,77690,20240515
SS2406.SHF,20240124,14270.0,14315.0,14240.0,14310,1714,11489,20240617
SS2407.SHF,20240124,14240.0,14300.0,14230.0,14295,213,2776,20240715
SS2408.SHF,20240124,14250.0,14290.0,14230.0,14270,153,1281,20240815
SS2409.SHF,20240124,14240.0,14305.0,14220.0,14285,1088,6737,20240918
SS2410.SHF,20240124,14260.0,14300.0,14230.0,14285,86,797,20241015
SS2411.SHF,20240124,14305.0,14335.0,14250.0,14300,50,492,20241115
SS2412.SHF,20240124,14310.0,14330.0,14270.0,14295,32,136,20241216
SS2402.SHF,20240125,14350.0,14390.0,14215.0,14260,3732,11700,20240219
SS2403.SHF,20240125,14375.0,14430.0,14250.0,14295,133282,124539,20240315
SS2404.SHF,20240125,14395.0,14405.0,14240.0,14275,14241,37715,20240415
SS2405.SHF,20240125,14390.0,14420.0,14255.0,14285,44583,76703,20240515
SS2406.SHF,20240125,14305.0,14345.0,14200.0,14225,4747,13084,20240617
SS2407.SHF,20240125,14300.0,14315.0,14185.0,14190,700,3014,20240715
SS2408.SHF,20240125,14310.0,14325.0,14185.0,14185,372,1306,20240815
SS2409.SHF,20240125,14300.0,14315.0,14185.0,14190,1566,6979,20240918
SS2410.SHF,20240125,14310.0,14310.0,14200.0,14215,65,797,20241015
SS2411.SHF,20240125,14290.0,14305.0,14225.0,14240,7,491,20241115
SS2412.SHF,20240125,14305.0,14305.0,14230.0,14250,27,135,20241216
SS2402.SHF,20240126,14280.0,14345.0,14115.0,14140,4369,10466,20240219
SS2403.SHF,20240126,14310.0,14395.0,14155.0,14180,203491,108527,20240315
SS2404.SHF,20240126,14290.0,14365.0,14160.0,14190,19758,38143,20240415
SS2405.SHF,20240126,14300.0,14370.0,14160.0,14190,65608,68118,20240515
SS2406.SHF,20240126,14225.0,14310.0,14120.0,14135,4239,13135,20240617
SS2407.SHF,20240126,14230.0,14280.0,14110.0,14115,456,3106,20240715
SS2408.SHF,20240126,14240.0,14275.0,14110.0,14125,170,1358,20240815
SS2409.SHF,20240126,14210.0,14275.0,14115.0,14140,1483,7069,20240918
SS2410.SHF,20240126,14250.0,14265.0,14100.0,14155,73,809,20241015
SS2411.SHF,20240126,14275.0,14295.0,14130.0,14150,41,493,20241115
