trade_date,roll_yield,pairs_count,structure
2016-08-05,0.06029885758123771,2,contango
2016-08-08,0.06239797178775559,2,contango
2016-08-09,0.05898170355250149,2,contango
2016-08-10,0.05836716642119142,2,contango
2016-08-11,0.0577687410750831,2,contango
2016-08-12,0.057476011676442694,2,contango
2016-08-15,0.05749340292747407,2,contango
2016-08-16,0.05905974632790599,2,contango
2016-08-17,0.05908341255586207,2,contango
2016-08-18,0.06019351905438016,2,contango
2016-08-19,0.059371532365132665,2,contango
2016-08-22,0.05872898140174346,2,contango
2016-08-23,0.06233910748271433,2,contango
2016-08-24,0.05823858084268287,2,contango
2016-08-25,0.05352940443028993,2,contango
2016-08-26,0.05187325454165714,2,contango
2016-08-29,0.05775443585500548,2,contango
2016-08-30,0.05330878615934133,2,contango
2016-08-31,0.06401844836503186,2,contango
2016-09-01,0.04812975713860984,2,contango
2016-09-02,0.05525251034957097,2,contango
2016-09-05,0.055317821192837256,2,contango
2016-09-06,0.05436122206840041,2,contango
2016-09-07,0.05433570426896679,2,contango
2016-09-08,0.052674695936775096,2,contango
2016-09-09,0.05198292186037271,2,contango
2016-09-12,0.05766044947857969,2,contango
2016-09-13,0.052733740491512304,2,contango
2016-09-14,0.05491389274105342,2,contango
2016-09-19,0.046257620827639595,1,contango
2016-09-20,0.04568952361649995,1,contango
2016-09-21,0.05169459403438107,1,contango
2016-09-22,0.04471761079743578,1,contango
2016-09-23,0.048936501992434524,1,contango
2016-09-26,0.0481462221760253,1,contango
2016-09-27,0.047079348911498085,1,contango
2016-09-28,0.051436584280775875,1,contango
2016-09-29,0.047558692664651105,1,contango
2016-09-30,0.04930837052124478,1,contango
2016-10-10,0.045840277759868174,1,contango
2016-10-11,0.05061368555799165,1,contango
2016-10-12,0.05091234123402052,1,contango
2016-10-13,0.049332422972578005,1,contango
2016-10-14,0.05174913172434666,1,contango
2016-10-17,0.05270118309286978,1,contango
2016-10-18,0.0546200877807661,1,contango
2016-10-19,0.05601754397478179,1,contango
2016-10-20,0.051912570378005896,1,contango
