ts_code,trade_date,open,high,low,close,vol,oi,delist_date
NI2104.SHF,20201110,119340.0,119550.0,117030.0,117850,4981,12204,20210415
NI2105.SHF,20201110,119100.0,119410.0,117000.0,117800,1583,12914,20210517
NI2106.SHF,20201110,118500.0,119330.0,117500.0,117850,47,8202,20210615
NI2109.SHF,20201110,118840.0,119230.0,117800.0,117800,33,118,20210915
NI2011.SHF,20201111,117450.0,118550.0,117370.0,117800,204,7548,20201116
NI2012.SHF,20201111,117780.0,118970.0,117080.0,117760,49451,40175,20201215
NI2101.SHF,20201111,117700.0,119210.0,117300.0,118000,20305,42647,20210115
NI2102.SHF,20201111,117750.0,119390.0,117390.0,118150,645004,126999,20210205
NI2103.SHF,20201111,118190.0,119390.0,117450.0,118220,28856,31650,20210315
NI2104.SHF,20201111,117830.0,119340.0,117460.0,118390,1990,12221,20210415
NI2105.SHF,20201111,118000.0,119410.0,117560.0,118420,1543,13043,20210517
NI2106.SHF,20201111,118100.0,119030.0,117690.0,118800,8,8201,20210615
NI2109.SHF,20201111,117800.0,119150.0,117800.0,118580,13,115,20210915
NI2011.SHF,20201112,119000.0,119300.0,118150.0,118550,222,7542,20201116
NI2012.SHF,20201112,118300.0,119880.0,117130.0,118600,52874,38435,20201215
NI2101.SHF,20201112,118310.0,120180.0,117350.0,118880,23290,42783,20210115
NI2102.SHF,20201112,118400.0,120380.0,117500.0,119010,682381,137135,20210205
NI2103.SHF,20201112,118280.0,120370.0,117530.0,119030,35939,33710,20210315
NI2104.SHF,20201112,118340.0,120270.0,117560.0,118960,3915,12472,20210415
NI2105.SHF,20201112,118640.0,120300.0,117660.0,119090,1610,13015,20210517
NI2106.SHF,20201112,117970.0,120240.0,117970.0,119460,20,8208,20210615
NI2109.SHF,20201112,118150.0,120680.0,118150.0,119180,24,125,20210915
NI2011.SHF,20201113,118800.0,119000.0,117700.0,117900,186,7464,20201116
NI2012.SHF,20201113,118400.0,119560.0,117640.0,118080,36118,36232,20201215
NI2101.SHF,20201113,118600.0,119870.0,117880.0,118340,17551,40594,20210115
NI2102.SHF,20201113,118950.0,120140.0,118110.0,118580,590987,138500,20210205
NI2103.SHF,20201113,119040.0,120150.0,118140.0,118630,30608,35101,20210315
NI2104.SHF,20201113,118910.0,120100.0,118170.0,118600,1950,12559,20210415
NI2105.SHF,20201113,119590.0,120130.0,118260.0,118730,1487,13110,20210517
NI2106.SHF,20201113,119240.0,119930.0,118550.0,118620,23,8210,20210615
NI2109.SHF,20201113,119490.0,120200.0,118500.0,118970,23,121,20210915
NI2011.SHF,20201116,118500.0,120000.0,118500.0,119500,222,7464,20201116
NI2012.SHF,20201116,118080.0,120350.0,118040.0,119650,40404,32523,20201215
NI2101.SHF,20201116,118750.0,120680.0,118300.0,120040,27434,41179,20210115
NI2102.SHF,20201116,118600.0,120940.0,118510.0,120240,743880,151593,20210205
NI2103.SHF,20201116,118790.0,120980.0,118510.0,120260,40639,37993,20210315
NI2104.SHF,20201116,118550.0,120910.0,118550.0,120300,3198,12972,20210415
NI2105.SHF,20201116,118720.0,120960.0,118710.0,120410,2540,13317,20210517
NI2106.SHF,20201116,118730.0,120810.0,118730.0,120410,44,8215,20210615
NI2109.SHF,20201116,119230.0,121190.0,119230.0,120590,23,123,20210915
NI2012.SHF,20201117,119750.0,119860.0,115580.0,115780,36969,28996,20201215
NI2101.SHF,20201117,120040.0,120180.0,115830.0,116010,36393,38546,20210115
NI2102.SHF,20201117,120370.0,120440.0,115950.0,116100,798863,159741,20210205
NI2103.SHF,20201117,120270.0,120470.0,116040.0,116120,48411,38100,20210315
NI2104.SHF,20201117,120380.0,120380.0,116150.0,116240,4970,13131,20210415
