trade_date,dominant_code,close,skew_factor,upside_skew,downside_skew,ret_5min_mean,ret_5min_std,bar_count
2025-11-20,CU2601.SHF,86130.0,-0.1189519271355993,2.660285986772602,-2.0306236388145957,-2.167223985969397e-05,0.0002967656707235,225
2025-11-21,CU2601.SHF,85660.0,0.0395915743231584,1.9239852855853927,-1.3086113290168744,-6.732956281743145e-06,0.0002720632154987,225
2025-11-24,CU2601.SHF,86080.0,0.9695225546942392,2.8989982739058653,-2.3531142796752187,-2.0392136829208707e-06,0.0002637816784815,225
2025-11-25,CU2601.SHF,86600.0,0.3856287710181703,2.442268563265535,-3.478039292926883,1.967644117402659e-05,0.0002963218705347,225
2025-11-26,CU2601.SHF,86590.0,-0.2343392730345406,1.5711784569310134,-2.4859137665336157,2.5696728288381642e-08,0.0002266972248728,225
2025-11-27,CU2601.SHF,86990.0,0.0341030402557251,1.6330826924945512,-1.456272239172979,-6.125215693895462e-06,0.0002402704811755,225
2025-11-28,CU2601.SHF,87430.0,-0.2164084028232848,1.4982125161891688,-1.6968477702601423,2.2561084193960143e-05,0.0002725905108302,225
2025-12-01,CU2601.SHF,89280.0,-1.3451678408628427,1.6565838617920394,-4.0960532050447656,-2.3287987976771633e-06,0.0005840687966571,225
2025-12-02,CU2601.SHF,88920.0,-0.2462644727223226,1.1056108798831543,-1.4637042466380044,1.0822958113738758e-06,0.0003951316833354,225
2025-12-03,CU2601.SHF,89210.0,-0.3837556361097647,1.0150233941166356,-1.766450820489592,1.310891568948383e-05,0.0003969720084937,225
2025-12-04,CU2601.SHF,90980.0,0.207766710390943,2.458987823021184,-1.1843088745253338,9.029264156023128e-06,0.0006133471619172,225
2025-12-05,CU2601.SHF,92780.0,0.9985082361308228,1.9712442903707008,-0.898650915951728,9.649018398837084e-05,0.0006048107699012,225
2025-12-08,CU2601.SHF,92970.0,0.6214570889994973,2.3365377148958726,-1.1222841570466626,2.809702023923959e-05,0.0005633255287823,225
2025-12-09,CU2601.SHF,91090.0,-0.9753532608805778,0.9930564753451828,-2.052731856788456,-6.791419230505509e-05,0.0005915000010085,225
2025-12-10,CU2602.SHF,91920.0,0.070082370552232,1.3741406733105894,-1.165465254358612,2.8875526186296053e-05,0.0005063346087707,225
