trade_date,roll_yield,dominant_code,close,virtual_real_ratio,oi_change,vol_change,signal,signal_text,roll_component,ratio_component,agreement_boost,combo_score_raw,combo_score
2024-12-02,0.0291151001109969,NI2501.SHF,125690,1.7293868640345038,1643.0,-12798.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.2844122742937763,-0.17344603313144233,0.85,0.10126895132368885,0.08607860862513551
2024-12-03,0.0341689679095843,NI2501.SHF,126010,1.5809818974013174,1994.0,-7996.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.4196437150997267,0.11182835129179501,0.85,-0.207054888543118,-0.1759966552616503
2024-12-04,0.0282150524040168,NI2501.SHF,127890,2.095497734835425,-2287.0,34885.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.39189226736315047,-0.978753442525725,0.85,-0.15636601659239976,-0.13291111410353978
2024-12-05,0.0304451811894434,NI2501.SHF,125070,1.8304424488456965,-1668.0,-22887.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.067164149543817,-0.4121671894294551,0.85,-0.12456838604549186,-0.10588312813866808
2024-12-06,0.039688222374483,NI2501.SHF,126320,1.3698309912136926,1273.0,-31955.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-1.2369147491250059,0.5492519440775064,0.85,-0.5224480718440009,-0.44408086106740075
2024-12-09,0.0324868919728533,NI2501.SHF,127000,1.723537831441407,-3871.0,19656.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.23086500927695683,-0.2158875862041958,1.15,-0.22487404004785239,-0.2586051460550302
2024-12-10,0.0329981509427591,NI2501.SHF,126820,1.878127286027798,-2213.0,6752.0,bearish,升水与高虚实盘比共振，偏空信号增强,-0.3148429424082527,-0.5594903010318022,1.15,-0.41270188585767253,-0.47460716873632336
2024-12-11,0.0325589356562322,NI2501.SHF,125590,1.7513190586527456,3292.0,-2902.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.2639515192001156,-0.3102840965244186,1.15,-0.28248455012983675,-0.32485723264931227
2024-12-12,0.0288405634183883,NI2501.SHF,129610,2.5779285456513894,-2367.0,53118.0,bearish,升水与高虚实盘比共振，偏空信号增强,0.26000344492382266,-2.1179523939756755,0.85,-0.6911788906359766,-0.5875020570405801
2024-12-13,0.0297326834738057,NI2501.SHF,129110,2.354804128763515,-3977.0,-24822.0,bearish,升水与高虚实盘比共振，偏空信号增强,0.11742168913472252,-1.6286991481326303,0.85,-0.5810266457722186,-0.4938726489063858
2024-12-16,0.0279044366825665,NI2501.SHF,126510,2.539386130575216,-8641.0,-9890.0,bearish,升水与高虚实盘比共振，偏空信号增强,0.37369906163611366,-1.9990131182114554,0.85,-0.5753858103029141,-0.489077938757477
2024-12-17,0.0358798628043245,NI2501.SHF,124200,2.060158383866147,1556.0,-23946.0,bearish,升水与高虚实盘比共振，偏空信号增强,-0.8124347875857882,-0.9353934386846682,1.15,-0.8616182480253403,-0.9908609852291412
2024-12-18,0.0256995000753471,NI2502.SHF,123870,0.7988328393779217,7245.0,-67638.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.6936592994018438,1.8742841169376259,1.15,1.1659092264161566,1.3407956103785799
2024-12-19,0.0250615352926976,NI2502.SHF,123020,0.8304221526389256,14063.0,13746.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.7987812709718842,1.8064353443424996,1.15,1.2018429003201303,1.3821193353681498
2024-12-20,0.024585862576499,NI2502.SHF,122570,0.782184655396619,6607.0,1332.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.8802513141302389,1.8917052924390183,1.15,1.2848329054537508,1.4775578412718133
2024-12-23,0.0248805560013615,NI2502.SHF,125180,1.1617431714489719,-3497.0,28628.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.8845930289328682,1.055472429904892,1.15,0.9529447893216778,1.0958865077199293
2024-12-24,0.0267283329411619,NI2502.SHF,125100,0.9062522544186605,539.0,-20623.0,bullish,贴水与低虚实盘比共振，偏多信号增强,0.5905118935679127,1.5940113507716498,1.15,0.9919116764494076,1.1406984279168186
2024-12-25,0.0301943179938784,NI2502.SHF,125330,1.1165110229329753,247.0,17763.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,0.0394893221519711,1.1172708326159684,1.15,0.47060192633757003,0.5411922152882055
2024-12-26,0.0326413864569943,NI2502.SHF,126490,1.3621002705006113,-2456.0,17141.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,-0.35823938693774315,0.5831519132544062,0.85,0.018317133139116593,0.015569563168249104
