trade_date,dominant_code,close,oi,vol,virtual_real_ratio,oi_change,vol_change,oi_change_pct,vol_change_pct,ratio_zscore,signal,signal_text
2020-09-04,NI2011.SHF,119250,148092,866758,5.852834724360533,-18342.0,-123155.0,-0.11020584736291861,-0.12440992289221375,0.6581260939377688,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-07,NI2011.SHF,119080,146827,741569,5.050631014731623,-1265.0,-125189.0,-0.008541987413229646,-0.14443362507181934,0.2322042377830536,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-08,NI2011.SHF,119610,140302,636315,4.5353238015138775,-6525.0,-105254.0,-0.04444005530317996,-0.1419341962784313,-0.06662298581046791,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-09,NI2011.SHF,115850,128863,817972,6.347609476731102,-11439.0,181657.0,-0.081531268264173,0.28548281904402684,0.9000192800815022,bearish,高虚实盘比且减仓，偏向短线资金离场
2020-09-10,NI2011.SHF,115770,132692,614121,4.6281689928556355,3829.0,-203851.0,0.02971372698136787,-0.24921513205831003,-0.06666449432425976,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-11,NI2011.SHF,116150,126581,712269,5.626981932517518,-6111.0,98148.0,-0.046054019835408355,0.1598186676566995,0.4657110510744523,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-14,NI2011.SHF,118820,135093,487943,3.61190439178936,8512.0,-224326.0,0.06724547917933976,-0.3149456174563262,-0.6957593688445964,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-15,NI2011.SHF,118790,125671,324880,2.585162845843512,-9422.0,-163063.0,-0.06974454634955174,-0.33418452565156176,-1.2854754631169838,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-16,NI2011.SHF,117540,119471,384739,3.220354730436675,-6200.0,59859.0,-0.049335168813807506,0.18424956907165724,-0.9321587176504307,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-17,NI2011.SHF,115560,123277,352680,2.860874291230319,3806.0,-32059.0,0.03185710339747727,-0.08332661882470971,-1.1569047137799868,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2020-09-18,NI2011.SHF,116710,116075,258819,2.2297566228731425,-7202.0,-93861.0,-0.05842127890847437,-0.26613644096631506,-1.5461830903090867,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-21,NI2011.SHF,114100,117855,281304,2.386865215731195,1780.0,22485.0,0.015334912771914677,0.08687538395558292,-1.4646397767347201,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2020-09-22,NI2011.SHF,113200,101369,283175,2.7935068906667717,-16486.0,1871.0,-0.13988375546222054,0.006651167420299808,-1.2504414791793323,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-23,NI2011.SHF,112770,91693,238785,2.6041791630767888,-9676.0,-44390.0,-0.09545324507492425,-0.1567581883993997,-1.3865486714316888,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-24,NI2012.SHF,112140,88203,533391,6.047311315941634,-3490.0,294606.0,-0.03806179315760205,1.233770965512909,0.6765326320833738,bearish,高虚实盘比且减仓，偏向短线资金离场
2020-09-25,NI2012.SHF,113610,94290,600075,6.364142538975501,6087.0,66684.0,0.06901125812047204,0.12501898232253628,0.8608513882565096,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-28,NI2012.SHF,113470,100697,626984,6.226441701341649,6407.0,26909.0,0.06794994166931811,0.04484272799233424,0.7663744601308746,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-29,NI2012.SHF,113850,98031,541529,5.524058716120411,-2666.0,-85455.0,-0.026475466001966264,-0.13629534405981647,0.3294220263857613,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-09-30,NI2012.SHF,111700,97740,636609,6.51329036218539,-291.0,95080.0,-0.0029684487560057704,0.17557693124467932,0.9124308260295746,bearish,高虚实盘比且减仓，偏向短线资金离场
2020-10-09,NI2012.SHF,115940,97609,265381,2.7188169123748835,-131.0,-371228.0,-0.001340290566809954,-0.5831334461184181,-1.352094794713332,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-12,NI2012.SHF,117080,110509,530825,4.803454922223529,12900.0,265444.0,0.13215994426743438,1.0002373945384182,-0.084612917952584,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-13,NI2012.SHF,117100,108946,500868,4.597396875516311,-1563.0,-29957.0,-0.014143644409052691,-0.05643479489473935,-0.19177216326375285,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-14,NI2012.SHF,117030,110514,625304,5.658142859728179,1568.0,124436.0,0.014392451306151743,0.24844070693276477,0.45385588163752355,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-15,NI2012.SHF,117860,117305,621042,5.294250031967946,6791.0,-4262.0,0.06144922815208931,-0.006815884753655799,0.22662178228145413,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-16,NI2012.SHF,119450,128166,636624,4.967183184307851,10861.0,15582.0,0.09258769873406925,0.02509009052527844,0.04427125806983353,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-19,NI2012.SHF,119430,130175,709104,5.44731323218744,2009.0,72480.0,0.015674984005118464,0.11385056171303631,0.33556459399963434,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-20,NI2012.SHF,120200,133246,495588,3.719346171742491,3071.0,-213516.0,0.0235913193777606,-0.30110674879848376,-0.7028319674567048,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-21,NI2012.SHF,121730,147809,669431,4.5290273258056,14563.0,173843.0,0.10929408762739601,0.3507812941394868,-0.20350789301274372,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-22,NI2012.SHF,119860,126265,445197,3.52589395319368,-21544.0,-224234.0,-0.14575567117022648,-0.33496207973637315,-0.7906217292235583,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-23,NI2012.SHF,119840,117770,315586,2.679680733633353,-8495.0,-129611.0,-0.06727913515225914,-0.29113179109472886,-1.2675321119273517,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-26,NI2012.SHF,117880,104875,317249,3.025020262216925,-12895.0,1663.0,-0.10949307973168043,0.005269562021128937,-1.0491543366835732,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-27,NI2012.SHF,119390,103906,228422,2.1983523569380017,-969.0,-88827.0,-0.009239570917759288,-0.27999142629291185,-1.5239442046924772,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-28,NI2012.SHF,125210,139175,489993,3.5206969642536374,35269.0,261571.0,0.33943179412160984,1.1451217483429792,-0.6571541334649619,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-29,NI2012.SHF,121620,110901,438488,3.953868765836196,-28274.0,-51505.0,-0.20315430213759655,-0.1051137465229095,-0.37025948418646465,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-10-30,NI2012.SHF,116980,86461,481066,5.563965256011381,-24440.0,42578.0,-0.22037673240097022,0.09710185911587099,0.6663558488438278,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-02,NI2012.SHF,115510,82575,284711,3.447907962458371,-3886.0,-196355.0,-0.04494511976498072,-0.40816644701558624,-0.6657868506271973,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-03,NI2102.SHF,116240,80536,310712,3.8580510579119895,-2039.0,26001.0,-0.024692703602785304,0.09132418487518912,-0.3797128715390094,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-04,NI2102.SHF,116320,90438,493061,5.451922864282713,9902.0,182349.0,0.12295122678057013,0.5868746620664795,0.6636930491874203,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-05,NI2102.SHF,116380,96665,502937,5.202886256659598,6227.0,9876.0,0.06885380039363986,0.020029976007025496,0.5045305707442476,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-06,NI2102.SHF,115960,107126,546586,5.102272090808954,10461.0,43649.0,0.1082191072259866,0.0867882060775007,0.52911924257931,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-09,NI2102.SHF,117930,115391,763186,6.613912696830775,8265.0,216600.0,0.07715213860314019,0.3962779873615496,1.596325832583346,active,虚实盘比显著抬升，短线博弈活跃
2020-11-10,NI2102.SHF,117940,113548,619961,5.459902420121887,-1843.0,-143225.0,-0.01597178289467982,-0.18766722660006863,0.794409768421705,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-11,NI2102.SHF,118150,126999,645004,5.078811644186175,13451.0,25043.0,0.11846091520766544,0.04039447642674299,0.521006226275943,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-12,NI2102.SHF,119010,137135,682381,4.975979873846939,10136.0,37377.0,0.07981165206025254,0.05794847783889723,0.48891516614568586,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-13,NI2102.SHF,118580,138500,590987,4.267054151624548,1365.0,-91394.0,0.009953695263791085,-0.133933975301188,-0.02357576304517102,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-16,NI2102.SHF,120240,151593,743880,4.907086738833588,13093.0,152893.0,0.09453429602888086,0.25870789035968644,0.44584057062431626,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-17,NI2102.SHF,116100,159741,798863,5.000989101107417,8148.0,54983.0,0.0537491836694306,0.0739138033016078,0.49400821035182046,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-18,NI2102.SHF,116280,154539,541375,3.5031610143717766,-5202.0,-257488.0,-0.03256521494168685,-0.32231809459193883,-0.6680245920392243,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-11-19,NI2102.SHF,116470,149038,583615,3.915880513694494,-5501.0,42240.0,-0.03559619254686519,0.07802355114292303,-0.3738601987814267,neutral,虚实盘比平稳，短线与持仓结构均衡
